Gender,HSC,SSC,Income,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
0,3.25,4.94,4.0,3,1,4,2,0,4,0,9,2.25,2.25
1,4.5,4.75,4.0,1,3,4,3,0,4,1,7,2.25,2.25
0,4.0,4.72,3.0,3,1,4,2,0,4,0,2,2.25,2.25
0,3.42,4.78,2.0,2,1,4,2,0,4,0,2,2.25,2.25
0,4.0,5.0,4.0,2,3,4,3,0,3,1,2,2.31,2.28
0,3.33,4.19,4.0,4,1,4,2,0,4,0,9,2.3,2.3
0,4.25,4.38,4.0,3,3,4,3,0,4,1,7,2.25,2.3
0,3.75,5.0,2.0,3,1,4,2,0,3,0,2,2.31,2.31
1,3.58,5.0,2.0,4,1,4,2,0,4,0,2,2.31,2.31
0,4.25,5.0,4.0,4,1,4,2,0,4,0,2,2.31,2.31
1,4.5,4.75,3.0,1,4,4,3,0,3,0,5,2.44,2.33
1,3.83,4.94,4.0,1,1,4,2,0,4,0,5,2.33,2.33
0,3.08,4.22,2.0,1,1,4,2,0,4,0,3,2.33,2.33
0,3.67,4.91,3.0,2,1,4,2,0,4,0,3,2.33,2.33
0,5.0,4.75,4.0,3,1,4,2,1,4,0,9,2.39,2.35
0,4.56,4.82,2.0,5,1,4,2,0,4,1,8,2.35,2.35
0,5.0,4.72,4.0,4,1,4,2,0,5,1,6,2.35,2.35
0,3.92,5.0,2.0,4,1,4,2,0,4,0,2,2.38,2.38
0,4.42,4.32,3.0,2,1,4,2,0,4,0,2,2.38,2.38
1,3.42,4.14,4.0,4,1,4,2,0,4,0,2,2.38,2.38
1,4.0,5.0,4.0,3,1,4,2,0,4,0,2,2.38,2.38
1,4.5,4.75,2.0,1,3,4,3,0,2,0,10,2.41,2.41
0,4.17,4.82,2.0,3,1,4,2,0,4,0,2,2.44,2.44
0,4.0,5.0,2.0,3,1,4,2,0,3,0,2,2.44,2.44
0,4.86,5.0,2.0,4,1,4,4,1,3,0,11,2.35,2.45
0,4.5,4.75,2.0,1,3,4,3,0,3,0,3,2.25,2.45
0,3.63,4.91,2.0,5,3,4,3,0,4,0,3,2.58,2.47
0,2.25,4.28,1.0,5,3,1,4,1,5,1,11,3.0,2.5
0,2.92,4.75,2.0,5,1,4,3,1,4,0,8,2.73,2.5
0,4.33,5.0,4.0,3,1,4,2,0,4,0,2,2.5,2.5
0,4.5,4.75,2.0,1,3,4,3,0,3,1,10,2.83,2.53
0,5.0,4.78,4.0,3,1,3,4,0,3,1,4,2.24,2.55
1,3.16,4.19,3.0,1,3,4,3,1,4,0,5,2.75,2.55
0,4.67,5.0,4.0,3,1,4,2,0,4,0,2,2.56,2.56
0,3.67,4.82,2.0,1,1,4,2,0,4,0,2,2.56,2.56
0,3.75,4.11,2.0,4,1,4,2,0,4,0,2,2.56,2.56
0,4.5,3.61,1.0,4,4,4,4,0,4,1,2,3.0,2.58
0,2.94,4.39,4.0,4,1,4,2,0,4,0,2,2.64,2.64
0,3.59,5.0,1.0,2,1,4,2,0,4,0,2,2.69,2.69
0,3.0,4.33,4.0,1,1,4,2,0,4,0,2,2.69,2.69
0,3.67,5.0,2.0,3,1,4,2,0,4,0,2,2.69,2.69
0,4.08,5.0,4.0,3,1,4,2,0,4,0,2,2.69,2.69
0,4.33,5.0,1.0,4,1,4,3,0,4,0,10,2.88,2.7
0,5.0,5.0,2.0,4,1,4,3,1,4,0,9,2.83,2.7
0,3.92,5.0,3.0,3,1,4,3,0,4,0,3,2.83,2.7
1,5.0,5.0,2.0,3,4,4,4,1,3,1,4,2.41,2.75
0,5.0,5.0,2.0,3,3,3,4,1,3,1,4,2.35,2.75
0,3.92,5.0,2.0,1,1,4,4,0,3,1,10,2.89,2.75
0,4.3,4.75,2.0,4,1,4,3,0,4,0,10,2.88,2.75
1,4.0,5.0,4.0,4,1,4,3,0,4,0,10,2.75,2.75
0,4.0,4.13,2.0,4,1,4,3,0,4,0,10,2.82,2.75
0,4.95,5.0,2.0,4,1,4,3,0,4,0,10,2.88,2.75
0,4.44,4.38,3.0,3,1,4,3,0,4,0,9,2.81,2.75
